gameID,ID,winner_name,runnerUp_name,winner_ID,runnerUp_ID,game_HS_Month,game_EB_Month,game_HS_Year,game_EB_Year,game_HS_Day,game_EB_Day,game_Season,game_Element,game_kin_tone,game_kin_seal,game_guide_seal,game_guide_tone,game_analogue_seal,game_analogue_tone,game_antipode_seal,game_antipode_tone,game_occult_seal,game_occult_tone,game_tribe,game_sun,winner_HS_Month,winner_EB_Month,winner_HS_Year,winner_EB_Year,winner_HS_Day,winner_EB_Day,winner_Season,winner_Element,winner_kin_tone,winner_kin_seal,winner_guide_seal,winner_guide_tone,winner_analogue_seal,winner_analogue_tone,winner_antipode_seal,winner_antipode_tone,winner_occult_seal,winner_occult_tone,winner_tribe,winner_sun,runner_up_HS_Month,runner_up_EB_Month,runner_up_HS_Year,runner_up_EB_Year,runner_up_Season,runner_up_EB_Day,runner_up_Element,runner_up_kin_tone,runner_up_kin_seal,runner_up_guide_seal,runner_up_guide_tone,runner_up_analogue_seal,runner_up_analogue_tone,runner_up_antipode_seal,runner_up_antipode_tone,runner_up_occult_seal,runner_up_occult_tone,runner_up_tribe,runner_up_sun
"2006-05-29-Roland Garros-Rafael Nadal-Roger Federer",18,"Rafael Nadal","Roger Federer",558,506,"yin water","yin fire","yang fire","yang earth","yang earth","yang fire","Early Summer",fire,galactic,monkey,eagle,galactic,star,galactic,dragon,galactic,dog,rhythmic,yellow,"Gem 07 59 14","yin water","yin fire","yang fire","yang wood","yang earth","yang wood","Early Summer",wood,rhythmic,warrior,warrior,rhythmic,night,rhythmic,worldBridge,rhythmic,snake,galactic,blue,"Gem 12 36 58","yang fire","yang metal","yin metal","yin metal","yang earth","yang fire","Early Autumn",moon,lunar,wind,lunar,hand,lunar,hand,lunar,seed,crystal,white,"Leo 15 50 26"
"2007-05-28-Roland Garros-Rafael Nadal-Roger Federer",17,"Rafael Nadal","Roger Federer",558,506,"yin wood","yin fire","yin fire","yin water","yang water","yang earth","Early Summer",neutral,galactic,eagle,storm,galactic,seed,galactic,snake,galactic,worldBridge,rhythmic,yellow,"Gem 06 47 53","yin water","yin fire","yang fire","yang wood","yang earth","yang wood","Early Summer",wood,rhythmic,warrior,warrior,rhythmic,night,rhythmic,worldBridge,rhythmic,snake,galactic,blue,"Gem 12 36 58","yang fire","yang metal","yin metal","yin metal","yang earth","yang fire","Early Autumn",moon,lunar,wind,lunar,hand,lunar,hand,lunar,seed,crystal,white,"Leo 15 50 26"
"2008-05-25-Roland Garros-Rafael Nadal-Roger Federer",16,"Rafael Nadal","Roger Federer",558,506,"yin fire","yin fire","yang earth","yang water","yin wood","yin earth","Early Summer",neutral,rhythmic,earth,earth,rhythmic,wind,rhythmic,hand,rhythmic,seed,galactic,white,"Gem 04 38 39","yin water","yin fire","yang fire","yang wood","yang earth","yang wood","Early Summer",wood,rhythmic,warrior,warrior,rhythmic,night,rhythmic,worldBridge,rhythmic,snake,galactic,blue,"Gem 12 36 58","yang fire","yang metal","yin metal","yin metal","yang earth","yang fire","Early Autumn",moon,lunar,wind,lunar,hand,lunar,hand,lunar,seed,crystal,white,"Leo 15 50 26"
"2009-05-25-Roland Garros-Roger Federer-Robin Soderling",15,"Roger Federer","Robin Soderling",506,541,"yin earth","yin fire","yin earth","yin earth","yang metal","yang fire","Early Summer",neutral,resonant,wind,wizard,resonant,earth,resonant,human,resonant,storm,resonant,red,"Gem 04 24 49","yang fire","yang metal","yin metal","yin metal","yang earth","yang fire","Early Autumn",metal,lunar,earth,moon,lunar,wind,lunar,hand,lunar,seed,crystal,white,"Leo 15 50 26","yang water","yang metal","yang wood","yang water","yang metal","yang earth","Early Autumn",mirror,spectral,dragon,spectral,star,spectral,star,spectral,night,electric,red,"Leo 21 51 43"
"2010-05-24-Roland Garros-Rafael Nadal-Robin Soderling",14,"Rafael Nadal","Robin Soderling",558,541,"yin metal","yin fire","yang metal","yang wood","yang wood","yang earth","Early Summer",wood,resonant,worldBridger,mirror,resonant,skyWalker,resonant,warrior,resonant,eagle,resonant,red,"Gem 03 13 20","yin water","yin fire","yang fire","yang wood","yang earth","yang wood","Early Summer",wood,rhythmic,warrior,warrior,rhythmic,night,rhythmic,worldBridge,rhythmic,snake,galactic,blue,"Gem 12 36 58","yang water","yang metal","yang wood","yang water","yang metal","yang earth","Early Autumn",mirror,spectral,dragon,spectral,star,spectral,star,spectral,night,electric,red,"Leo 21 51 43"
"2011-05-22-Roland Garros-Rafael Nadal-Roger Federer",13,"Rafael Nadal","Roger Federer",558,506,"yin water","yin fire","yin metal","yin wood","yin fire","yin earth","Early Summer",fire,rhythmic,moon,moon,rhythmic,dog,rhythmic,storm,rhythmic,human,galactic,white,"Gem 01 04 04","yin water","yin fire","yang fire","yang wood","yang earth","yang wood","Early Summer",wood,rhythmic,warrior,warrior,rhythmic,night,rhythmic,worldBridge,rhythmic,snake,galactic,blue,"Gem 12 36 58","yang fire","yang metal","yin metal","yin metal","yang earth","yang fire","Early Autumn",moon,lunar,wind,lunar,hand,lunar,hand,lunar,seed,crystal,white,"Leo 15 50 26"
"2012-05-27-Roland Garros-Rafael Nadal-Novak Djokovic",12,"Rafael Nadal","Novak Djokovic",558,566,"yin wood","yin fire","yang water","yang earth","yang earth","yang water","Early Summer",neutral,crystal,storm,monkey,crystal,sun,crystal,moon,crystal,wind,lunar,yellow,"Gem 06 35 53","yin water","yin fire","yang fire","yang wood","yang earth","yang wood","Early Summer",wood,rhythmic,warrior,warrior,rhythmic,night,rhythmic,worldBridge,rhythmic,snake,galactic,blue,"Gem 12 36 58","yin wood","yin fire","yin fire","yin wood","yin metal","yin earth","Early Summer",skyWalker,galactic,dog,galactic,storm,galactic,storm,galactic,human,rhythmic,white,"Gem 00 52 30"
"2013-05-27-Roland Garros-Rafael Nadal-David Ferrer",11,"Rafael Nadal","David Ferrer",558,517,"yin fire","yin fire","yin water","yin fire","yin water","yin fire","Early Summer",fire,cosmic,seed,star,cosmic,eagle,cosmic,wizard,cosmic,earth,magnetic,blue,"Gem 06 21 29","yin water","yin fire","yang fire","yang wood","yang earth","yang wood","Early Summer",wood,rhythmic,warrior,warrior,rhythmic,night,rhythmic,worldBridge,rhythmic,snake,galactic,blue,"Gem 12 36 58","yin water","yin wood","yang water","yang earth","yin wood","yin wood","Mid Spring",wind,overtone,snake,overtone,seed,overtone,seed,overtone,hand,solar,red,"Ari 12 25 08"
"2014-05-26-Roland Garros-Rafael Nadal-Novak Djokovic",10,"Rafael Nadal","Novak Djokovic",558,566,"yin earth","yin fire","yang wood","yang fire","yin fire","yin metal","Early Summer",fire,cosmic,star,human,cosmic,monkey,cosmic,mirror,cosmic,skyWalker,magnetic,blue,"Gem 05 10 05","yin water","yin fire","yang fire","yang wood","yang earth","yang wood","Early Summer",wood,rhythmic,warrior,warrior,rhythmic,night,rhythmic,worldBridge,rhythmic,snake,galactic,blue,"Gem 12 36 58","yin wood","yin fire","yin fire","yin wood","yin metal","yin earth","Early Summer",skyWalker,galactic,dog,galactic,storm,galactic,storm,galactic,human,rhythmic,white,"Gem 00 52 30"
"2015-05-24-Roland Garros-Stan Wawrinka-Novak Djokovic",9,"Stan Wawrinka","Novak Djokovic",544,566,"yin metal","yin fire","yin wood","yin earth","yang metal","yang water","Early Summer",neutral,crystal,monkey,night,crystal,star,crystal,dragon,crystal,dog,lunar,yellow,"Gem 03 00 57","yin earth","yin wood","yin wood","yin earth","yang fire","yang wood","Mid Spring",wood,electric,seed,star,electric,eagle,electric,wizard,electric,earth,spectral,blue,"Ari 07 45 21","yin wood","yin fire","yin fire","yin wood","yin metal","yin earth","Early Summer",skyWalker,galactic,dog,galactic,storm,galactic,storm,galactic,human,rhythmic,white,"Gem 00 52 30"
"2016-05-23-Roland Garros-Novak Djokovic-Andy Murray",8,"Novak Djokovic","Andy Murray",566,564,"yin water","yin fire","yang fire","yang metal","yin wood","yin fire","Early Summer",fire,crystal,eagle,hand,crystal,seed,crystal,snake,crystal,worldBridge,lunar,yellow,"Gem 02 46 46","yin wood","yin fire","yin fire","yin wood","yin metal","yin earth","Early Summer",neutral,galactic,moon,skyWalker,galactic,dog,galactic,storm,galactic,human,rhythmic,white,"Gem 00 52 30","yin wood","yin fire","yin fire","yin wood","yang wood","yang water","Early Summer",wind,magnetic,earth,magnetic,human,magnetic,human,magnetic,storm,cosmic,red,"Tau 24 08 05"
"2017-05-29-Roland Garros-Rafael Nadal-Stan Wawrinka",7,"Rafael Nadal","Stan Wawrinka",558,544,"yin wood","yin fire","yin fire","yin metal","yang fire","yang earth","Early Summer",fire,rhythmic,worldBridger,worldBridge,rhythmic,skyWalker,rhythmic,warrior,rhythmic,eagle,galactic,red,"Gem 08 18 30","yin water","yin fire","yang fire","yang wood","yang earth","yang wood","Early Summer",wood,rhythmic,warrior,warrior,rhythmic,night,rhythmic,worldBridge,rhythmic,snake,galactic,blue,"Gem 12 36 58","yin earth","yin wood","yin wood","yin earth","yang fire","yang wood","Mid Spring",star,electric,eagle,electric,wizard,electric,wizard,electric,earth,spectral,blue,"Ari 07 45 21"
"2018-05-28-Roland Garros-Rafael Nadal-Dominic Thiem",6,"Rafael Nadal","Dominic Thiem",558,618,"yin fire","yin fire","yang earth","yang earth","yang metal","yang metal","Early Summer",neutral,rhythmic,dog,dog,rhythmic,moon,rhythmic,sun,rhythmic,monkey,galactic,red,"Gem 07 06 57","yin water","yin fire","yang fire","yang wood","yang earth","yang wood","Early Summer",wood,rhythmic,warrior,warrior,rhythmic,night,rhythmic,worldBridge,rhythmic,snake,galactic,blue,"Gem 12 36 58","yang metal","yang metal","yin water","yin metal","yin fire","yin water","Early Autumn",night,magnetic,warrior,magnetic,skyWalker,magnetic,skyWalker,magnetic,mirror,cosmic,yellow,"Vir 10 59 43"
"2019-05-27-Roland Garros-Rafael Nadal-Dominic Thiem",5,"Rafael Nadal","Dominic Thiem",558,618,"yin earth","yin fire","yin earth","yin water","yang wood","yang water","Early Summer",water,rhythmic,wizard,wizard,rhythmic,snake,rhythmic,seed,rhythmic,hand,galactic,red,"Gem 05 55 35","yin water","yin fire","yang fire","yang wood","yang earth","yang wood","Early Summer",wood,rhythmic,warrior,warrior,rhythmic,night,rhythmic,worldBridge,rhythmic,snake,galactic,blue,"Gem 12 36 58","yang metal","yang metal","yin water","yin metal","yin fire","yin water","Early Autumn",night,magnetic,warrior,magnetic,skyWalker,magnetic,skyWalker,magnetic,mirror,cosmic,yellow,"Vir 10 59 43"
"2020-09-28-Roland Garros-Rafael Nadal-Novak Djokovic",4,"Rafael Nadal","Novak Djokovic",558,566,"yin wood","yin metal","yang metal","yang water","yang wood","yang earth","Mid Autumn",metal,magnetic,night,night,magnetic,warrior,magnetic,skyWalker,magnetic,mirror,cosmic,yellow,"Lib 05 49 07","yin water","yin fire","yang fire","yang wood","yang earth","yang wood","Early Summer",wood,rhythmic,warrior,warrior,rhythmic,night,rhythmic,worldBridge,rhythmic,snake,galactic,blue,"Gem 12 36 58","yin wood","yin fire","yin fire","yin wood","yin metal","yin earth","Early Summer",skyWalker,galactic,dog,galactic,storm,galactic,storm,galactic,human,rhythmic,white,"Gem 00 52 30"
"2021-05-30-Roland Garros-Novak Djokovic-Stefanos Tsitsipas",3,"Novak Djokovic","Stefanos Tsitsipas",566,658,"yin water","yin fire","yin metal","yin earth","yang earth","yang wood","Early Summer",earth,spectral,hand,hand,spectral,human,spectral,earth,spectral,wizard,electric,yellow,"Gem 09 17 50","yin wood","yin fire","yin fire","yin wood","yin metal","yin earth","Early Summer",neutral,galactic,moon,skyWalker,galactic,dog,galactic,storm,galactic,human,rhythmic,white,"Gem 00 52 30","yang metal","yang metal","yang earth","yang wood","yin metal","yin wood","Early Autumn",wizard,planetary,skyWalker,planetary,warrior,planetary,warrior,planetary,eagle,selfexistin,red,"Leo 19 34 50"
"2022-05-22-Roland Garros-Rafael Nadal-Casper Ruud",2,"Rafael Nadal","Casper Ruud",558,660,"yin wood","yin fire","yang water","yang wood","yin wood","yin water","Early Summer",wood,selfexisting,seed,sun,selfexistin,eagle,selfexistin,wizard,selfexistin,earth,planetary,blue,"Gem 01 23 16","yin water","yin fire","yang fire","yang wood","yang earth","yang wood","Early Summer",wood,rhythmic,warrior,warrior,rhythmic,night,rhythmic,worldBridge,rhythmic,snake,galactic,blue,"Gem 12 36 58","yang wood","yang water","yang earth","yang wood","yin water","yin wood","Mid Winter",dog,crystal,dragon,crystal,star,crystal,star,crystal,night,lunar,red,"Cap 00 25 37"
"2023-05-28-Roland Garros-Novak Djokovic-Casper Ruud",1,"Novak Djokovic","Casper Ruud",566,660,"yin fire","yin fire","yin water","yin wood","yang fire","yang earth","Early Summer",fire,spectral,eagle,eagle,spectral,seed,spectral,snake,spectral,worldBridge,electric,yellow,"Gem 06 55 22","yin wood","yin fire","yin fire","yin wood","yin metal","yin earth","Early Summer",neutral,galactic,moon,skyWalker,galactic,dog,galactic,storm,galactic,human,rhythmic,white,"Gem 00 52 30","yang wood","yang water","yang earth","yang wood","yin water","yin wood","Mid Winter",dog,crystal,dragon,crystal,star,crystal,star,crystal,night,lunar,red,"Cap 00 25 37"
